pair_id,claim_label,claim_kind,target_rank,target_taxa,contrast_taxa,pair_validation_status,expanded_reference_role,source_keys,claim_note
BEEPRIME,Bee-preferring within Hymenoptera,prefer_clade,lineage,Bees (Apiformes),Non-bee Hymenoptera,published_pair,both,beeprime2026,Bee-specific claim with Central European empirical validation; broader geographic validation remains necessary.
NOSPID,Amplify arthropod prey while suppressing spider host DNA,exclude_clade,order,Non-Araneae Arthropoda,Araneae,published_pair,both,melcher2024,Spidprey was evaluated against arthropod and spider sequences; suppression is not expected to be uniform across all spider families.
NOSPI2_LAURELIN,Potential spider-exclusion combination,exclude_clade,order,Non-Araneae Arthropoda,Araneae,hybrid_unvalidated_pair,both,lafage2020|cuff2021,NoSpi2_F and Laurelin_R have separate published provenance; this exact hybrid pair must not inherit full-pair validation from either source.
ZBJ_ART,Broad arthropod prey recovery with known lineage bias,broad_target,phylum,Arthropoda,Vertebrata,published_pair,positive_only,zeale2011|elbrecht2019|rubbmark2018,Originally developed for arthropod prey in bat faeces; independent evaluations report substantial arthropod bias including poor recovery in parts of Hymenoptera.
ZBJ_ART_DEG,More-degenerate ZBJ comparison variant,broad_target,phylum,Arthropoda,Vertebrata,published_pair,positive_only,elbrecht2019,Elbrecht et al. experimentally tested this more-degenerate variant and found lower amplification efficiency; it is retained for direct comparison rather than presented as an improvement.
ANML,Broad animal and arthropod diet recovery,broad_target,kingdom,Animalia,Non-animal templates,published_pair,arthropod_subset,jusino2019,The shared expanded reference evaluates the arthropod portion of the broader animal claim.
VERT,Prefer vertebrate diet templates,prefer_clade,subphylum,Vertebrata,Arthropoda,published_pair,off_target_only,reeves2018,The shared arthropod reference can assess potential arthropod cross-binding but cannot validate vertebrate coverage.
NOPLANT,Recover plant-associated arthropods while limiting plant amplification,exclude_clade,kingdom,Arthropoda,Plantae,published_pair,positive_only,krehenwinkel2022,The shared arthropod reference evaluates target coverage; a plant reference is still required to test exclusion directly.
BF2_BR1,Freshwater macroinvertebrate recovery,broad_target,phylum,Freshwater Arthropoda,Non-arthropod templates,published_pair,positive_only,elbrecht2017b|hajibabaei2019,Developed and validated for freshwater macroinvertebrate bulk samples; the shared arthropod reference evaluates lineage-dependent binding but not environmental non-target amplification.
BF1_BR2,Freshwater macroinvertebrate recovery,broad_target,phylum,Freshwater Arthropoda,Non-arthropod templates,published_pair,positive_only,elbrecht2017b|hajibabaei2019,One of the BF and BR combinations evaluated for freshwater bioassessment; the family and sequence views should be used to identify clade-specific mismatches.
BF3_BR2,Long-fragment terrestrial arthropod recovery,broad_target,phylum,Terrestrial Arthropoda,Non-arthropod templates,published_pair,positive_only,elbrecht2019,Recommended in its terrestrial benchmark for high taxonomic resolution; the longer product is less suitable for degraded DNA.
FWH1,Short arthropod diet recovery with predator co-amplification,broad_target,phylum,Arthropods,Vertebrate predator DNA,published_pair,positive_only,vamos2017|tournayre2020,Tournayre et al. found fwh1 the best overall single pair in their bat-diet benchmark when simultaneous predator identification was useful; performance remains study- and lineage-dependent.
FWH2_EPTDR2N,Prefer benthic freshwater macroinvertebrates in water eDNA,prefer_clade,lineage,EPTD-rich benthic macroinvertebrates,Fungi algae bacteria and other nontargets,published_pair,positive_only,vamos2017|leese2021,The reverse primer was designed to reduce abundant nontarget amplification; the shared arthropod reference can inspect target-lineage binding but cannot reproduce the environmental nontarget comparison.
HEXCOI,Insect-focused COI recovery,prefer_clade,class,Hexapoda,Non-hexapod arthropods,published_pair,positive_only,marquina2019|tournayre2020,Computationally designed for insects and later compared empirically; the arthropod reference can reveal which insect and non-insect lineages match its sites.
BR5_ARR5,Freshwater benthic macroinvertebrate recovery,broad_target,phylum,Freshwater Arthropoda,Non-arthropod templates,published_pair,positive_only,gibson2014|hajibabaei2019,BR5 has been used in multi-amplicon freshwater panels and showed genus-level richness advantages in the cited comparison; no single pair recovers all lineages.
F230R,Short freshwater macroinvertebrate recovery,broad_target,phylum,Freshwater Arthropoda,Non-arthropod templates,published_pair,positive_only,folmer1994|gibson2014|hajibabaei2019,F230R is a short multi-amplicon marker that showed high Arthropoda read and indicator recovery in the cited freshwater comparison.
FISH_F2_R1,Fish COI recovery,prefer_clade,class,Fishes,Arthropods,published_pair,off_target_only,ward2005|andean_fish2026,The shared reference contains arthropods and therefore tests only potential off-target binding; it cannot validate fish-family coverage or the regional Andean performance claim.
MOLLCOI253,Marine mollusk eDNA recovery,prefer_clade,phylum,Mollusca,Arthropods,published_pair,off_target_only,shi2024,The published study validated 24 mollusk species from 15 families and four marine eDNA samples; the shared arthropod reference assesses only potential off-target binding and cannot validate mollusk coverage.
