"pair_id","claim_label","claim_kind","target_rank","target_taxa","contrast_taxa","pair_validation_status","expanded_reference_role","source_keys","claim_note","marker_id","claim_id","evidence_type","curator_note"
"BEEPRIME","Bee-preferring within Hymenoptera","prefer_clade","lineage","Bees (Apiformes)","Non-bee Hymenoptera","published_pair","both","beeprime2026","Bee-specific claim with Central European empirical validation; broader geographic validation remains necessary.","COI","CLAIM_1","publication_claim","Bee-specific claim with Central European empirical validation; broader geographic validation remains necessary."
"NOSPID","Amplify arthropod prey while suppressing spider host DNA","exclude_clade","order","Non-Araneae Arthropoda","Araneae","published_pair","both","melcher2024","Spidprey was evaluated against arthropod and spider sequences; suppression is not expected to be uniform across all spider families.","COI","CLAIM_2","publication_claim","Spidprey was evaluated against arthropod and spider sequences; suppression is not expected to be uniform across all spider families."
"NOSPI2_LAURELIN","Potential spider-exclusion combination","exclude_clade","order","Non-Araneae Arthropoda","Araneae","hybrid_unvalidated_pair","both","lafage2020|cuff2021","NoSpi2_F and Laurelin_R have separate published provenance; this exact hybrid pair must not inherit full-pair validation from either source.","COI","CLAIM_3","publication_claim","NoSpi2_F and Laurelin_R have separate published provenance; this exact hybrid pair must not inherit full-pair validation from either source."
"ZBJ_ART","Broad arthropod prey recovery with known lineage bias","broad_target","phylum","Arthropoda","Vertebrata","published_pair","positive_only","zeale2011|elbrecht2019|rubbmark2018","Originally developed for arthropod prey in bat faeces; independent evaluations report substantial arthropod bias including poor recovery in parts of Hymenoptera.","COI","CLAIM_4","publication_claim","Originally developed for arthropod prey in bat faeces; independent evaluations report substantial arthropod bias including poor recovery in parts of Hymenoptera."
"ZBJ_ART_DEG","More-degenerate ZBJ comparison variant","broad_target","phylum","Arthropoda","Vertebrata","published_pair","positive_only","elbrecht2019","Elbrecht et al. experimentally tested this more-degenerate variant and found lower amplification efficiency; it is retained for direct comparison rather than presented as an improvement.","COI","CLAIM_5","publication_claim","Elbrecht et al. experimentally tested this more-degenerate variant and found lower amplification efficiency; it is retained for direct comparison rather than presented as an improvement."
"ANML","Broad animal and arthropod diet recovery","broad_target","kingdom","Animalia","Non-animal templates","published_pair","arthropod_subset","jusino2019","The shared expanded reference evaluates the arthropod portion of the broader animal claim.","COI","CLAIM_6","publication_claim","The shared expanded reference evaluates the arthropod portion of the broader animal claim."
"VERT","Prefer vertebrate diet templates","prefer_clade","subphylum","Vertebrata","Arthropoda","published_pair","off_target_only","reeves2018","The shared arthropod reference can assess potential arthropod cross-binding but cannot validate vertebrate coverage.","COI","CLAIM_7","publication_claim","The shared arthropod reference can assess potential arthropod cross-binding but cannot validate vertebrate coverage."
"NOPLANT","Recover plant-associated arthropods while limiting plant amplification","exclude_clade","kingdom","Arthropoda","Plantae","published_pair","positive_only","krehenwinkel2022","The shared arthropod reference evaluates target coverage; a plant reference is still required to test exclusion directly.","COI","CLAIM_8","publication_claim","The shared arthropod reference evaluates target coverage; a plant reference is still required to test exclusion directly."
"BF2_BR1","Freshwater macroinvertebrate recovery","broad_target","phylum","Freshwater Arthropoda","Non-arthropod templates","published_pair","positive_only","elbrecht2017b|hajibabaei2019","Developed and validated for freshwater macroinvertebrate bulk samples; the shared arthropod reference evaluates lineage-dependent binding but not environmental non-target amplification.","COI","CLAIM_9","publication_claim","Developed and validated for freshwater macroinvertebrate bulk samples; the shared arthropod reference evaluates lineage-dependent binding but not environmental non-target amplification."
"BF1_BR2","Freshwater macroinvertebrate recovery","broad_target","phylum","Freshwater Arthropoda","Non-arthropod templates","published_pair","positive_only","elbrecht2017b|hajibabaei2019","One of the BF and BR combinations evaluated for freshwater bioassessment; the family and sequence views should be used to identify clade-specific mismatches.","COI","CLAIM_10","publication_claim","One of the BF and BR combinations evaluated for freshwater bioassessment; the family and sequence views should be used to identify clade-specific mismatches."
"BF3_BR2","Long-fragment terrestrial arthropod recovery","broad_target","phylum","Terrestrial Arthropoda","Non-arthropod templates","published_pair","positive_only","elbrecht2019","Recommended in its terrestrial benchmark for high taxonomic resolution; the longer product is less suitable for degraded DNA.","COI","CLAIM_11","publication_claim","Recommended in its terrestrial benchmark for high taxonomic resolution; the longer product is less suitable for degraded DNA."
"FWH1","Short arthropod diet recovery with predator co-amplification","broad_target","phylum","Arthropods","Vertebrate predator DNA","published_pair","positive_only","vamos2017|tournayre2020","Tournayre et al. found fwh1 the best overall single pair in their bat-diet benchmark when simultaneous predator identification was useful; performance remains study- and lineage-dependent.","COI","CLAIM_12","publication_claim","Tournayre et al. found fwh1 the best overall single pair in their bat-diet benchmark when simultaneous predator identification was useful; performance remains study- and lineage-dependent."
"FWH2_EPTDR2N","Prefer benthic freshwater macroinvertebrates in water eDNA","prefer_clade","lineage","EPTD-rich benthic macroinvertebrates","Fungi algae bacteria and other nontargets","published_pair","positive_only","vamos2017|leese2021","The reverse primer was designed to reduce abundant nontarget amplification; the shared arthropod reference can inspect target-lineage binding but cannot reproduce the environmental nontarget comparison.","COI","CLAIM_13","publication_claim","The reverse primer was designed to reduce abundant nontarget amplification; the shared arthropod reference can inspect target-lineage binding but cannot reproduce the environmental nontarget comparison."
"HEXCOI","Insect-focused COI recovery","prefer_clade","class","Hexapoda","Non-hexapod arthropods","published_pair","positive_only","marquina2019|tournayre2020","Computationally designed for insects and later compared empirically; the arthropod reference can reveal which insect and non-insect lineages match its sites.","COI","CLAIM_14","publication_claim","Computationally designed for insects and later compared empirically; the arthropod reference can reveal which insect and non-insect lineages match its sites."
"BR5_ARR5","Freshwater benthic macroinvertebrate recovery","broad_target","phylum","Freshwater Arthropoda","Non-arthropod templates","published_pair","positive_only","gibson2014|hajibabaei2019","BR5 has been used in multi-amplicon freshwater panels and showed genus-level richness advantages in the cited comparison; no single pair recovers all lineages.","COI","CLAIM_15","publication_claim","BR5 has been used in multi-amplicon freshwater panels and showed genus-level richness advantages in the cited comparison; no single pair recovers all lineages."
